Date,Prime_rate,mortgare_1y,mortgare_3y,mortgare_5y,Date
11-Jan,3,3.35,4.15,5.19,Jan-11
11-Feb,3,3.35,4.15,5.19,Feb-11
11-Mar,3,3.5,4.35,5.44,Mar-11
11-Apr,3,3.7,4.55,5.69,Apr-11
11-May,3,3.7,4.55,5.69,May-11
11-Jun,3,3.6,4.45,5.49,Jun-11
11-Jul,3,3.6,4.45,5.54,Jul-11
11-Aug,3,3.5,4.35,5.39,Aug-11
11-Sep,3,3.5,4.35,5.39,Sep-11
11-Oct,3,3.5,4.35,5.19,Oct-11
11-Nov,3,3.5,4.05,5.29,Nov-11
11-Dec,3,3.5,4.05,5.29,Dec-11
12-Jan,3,3.5,4.05,5.29,Jan-12
12-Feb,3,3.5,3.95,5.14,Feb-12
12-Mar,3,3.2,3.95,5.24,Mar-12
12-Apr,3,3.2,3.95,5.44,Apr-12
12-May,3,3.2,3.95,5.44,May-12
12-Jun,3,3.2,3.95,5.24,Jun-12
12-Jul,3,3.2,3.95,5.24,Jul-12
12-Aug,3,3.1,3.95,5.24,Aug-12
12-Sep,3,3.1,4.05,5.24,Sep-12
12-Oct,3,3.1,3.85,5.24,Oct-12
12-Nov,3,3.1,3.7,5.24,Nov-12
12-Dec,3,3.1,3.7,5.24,Dec-12
13-Jan,3,3,3.7,5.24,Jan-13
13-Feb,3,3,3.65,5.24,Feb-13
13-Mar,3,3,3.65,5.24,Mar-13
13-Apr,3,3,3.55,5.14,Apr-13
13-May,3,3,3.55,5.14,May-13
13-Jun,3,3,3.55,5.14,Jun-13
13-Jul,3,3.14,3.75,5.14,Jul-13
13-Aug,3,3.14,3.75,5.14,Aug-13
13-Sep,3,3.14,3.95,5.34,Sep-13
13-Oct,3,3.14,3.95,5.34,Oct-13
13-Nov,3,3.14,3.95,5.34,Nov-13
13-Dec,3,3.14,3.95,5.34,Dec-13
14-Jan,3,3.14,3.95,5.34,Jan-14
14-Feb,3,3.14,3.75,5.24,Feb-14
14-Mar,3,3.14,3.75,4.99,Mar-14
14-Apr,3,3.14,3.75,4.99,Apr-14
14-May,3,3.14,3.75,4.79,May-14
14-Jun,3,3.14,3.75,4.79,Jun-14
14-Jul,3,3.14,3.75,4.79,Jul-14
14-Aug,3,3.14,3.75,4.79,Aug-14
14-Sep,3,3.14,3.75,4.79,Sep-14
14-Oct,3,3.14,3.75,4.79,Oct-14
14-Nov,3,3.14,3.44,4.79,Nov-14
14-Dec,3,3.14,3.44,4.79,Dec-14
15-Jan,3,3.14,3.44,4.79,Jan-15
15-Feb,2.85,3.14,3.8,4.79,Feb-15
15-Mar,2.85,2.89,3.39,4.74,Mar-15
15-Apr,2.85,2.89,3.39,4.74,Apr-15
15-May,2.85,2.89,3.39,4.64,May-15
15-Jun,2.85,2.89,3.39,4.64,Jun-15
15-Jul,2.85,2.89,3.39,4.64,Jul-15
15-Aug,2.7,2.89,3.39,4.64,Aug-15
15-Sep,2.7,2.89,3.39,4.64,Sep-15
15-Oct,2.7,2.89,3.39,4.64,Oct-15
15-Nov,2.7,3.14,3.39,4.64,Nov-15
15-Dec,2.7,3.14,3.39,4.64,Dec-15
16-Jan,2.7,3.14,3.39,4.64,Jan-16
16-Feb,2.7,3.14,3.39,4.64,Feb-16
16-Mar,2.7,3.14,3.39,4.64,Mar-16
16-Apr,2.7,3.14,3.39,4.64,Apr-16
16-May,2.7,3.14,3.39,4.64,May-16
16-Jun,2.7,3.14,3.39,4.64,Jun-16
16-Jul,2.7,3.14,3.39,4.74,Jul-16
16-Aug,2.7,3.14,3.39,4.74,Aug-16
16-Sep,2.7,3.14,3.39,4.64,Sep-16
16-Oct,2.7,3.14,3.39,4.64,Oct-16
16-Nov,2.7,3.14,3.39,4.64,Nov-16
16-Dec,2.7,3.14,3.39,4.64,Dec-16
17-Jan,2.7,3.14,3.39,4.64,Jan-17
17-Feb,2.7,3.14,3.39,4.64,Feb-17
17-Mar,2.7,3.14,3.39,4.64,Mar-17
17-Apr,2.7,3.14,3.39,4.64,Apr-17
17-May,2.7,3.14,3.39,4.64,May-17
17-Jun,2.7,3.14,3.39,4.64,Jun-17
17-Jul,2.7,3.14,3.39,4.64,Jul-17
17-Aug,2.95,3.14,3.39,4.84,Aug-17
17-Sep,2.95,3.14,3.39,4.84,Sep-17
17-Oct,3.2,3.24,3.59,4.89,Oct-17
17-Nov,3.2,3.24,3.74,4.99,Nov-17
17-Dec,3.2,3.24,3.74,4.99,Dec-17
18-Jan,3.2,3.24,3.74,4.99,Jan-18
18-Feb,3.45,3.34,4.15,5.14,Feb-18
18-Mar,3.45,3.34,4.15,5.14,Mar-18
18-Apr,3.45,3.34,4.15,5.14,Apr-18
18-May,3.45,3.49,4.3,5.14,May-18
18-Jun,3.45,3.49,4.3,5.34,Jun-18
18-Jul,3.45,3.49,4.3,5.34,Jul-18
18-Aug,3.7,3.49,4.3,5.34,Aug-18
18-Sep,3.7,3.49,4.3,5.34,Sep-18
18-Oct,3.7,3.49,4.3,5.34,Oct-18
18-Nov,3.95,3.64,4.29,5.34,Nov-18
18-Dec,3.95,3.64,4.29,5.34,Dec-18
19-Jan,3.95,3.64,4.29,5.34,Jan-19
19-Feb,3.95,3.64,4.29,5.34,Feb-19
19-Mar,3.95,3.64,4.29,5.34,Mar-19
19-Apr,3.95,3.64,4.29,5.34,Apr-19
19-May,3.95,3.64,4.29,5.34,May-19
19-Jun,3.95,3.64,4.29,5.34,Jun-19
19-Jul,3.95,3.64,4.29,5.34,Jul-19
19-Aug,3.95,3.64,4.29,5.19,Aug-19
19-Sep,3.95,3.64,3.94,5.19,Sep-19
19-Oct,3.95,3.64,3.94,5.19,Oct-19
19-Nov,3.95,3.64,3.94,5.19,Nov-19
19-Dec,3.95,3.64,3.94,5.19,Dec-19
20-Jan,3.95,3.64,3.94,5.19,Jan-20
20-Feb,3.95,3.64,3.94,5.19,Feb-20
20-Mar,3.95,3.64,3.94,5.19,Mar-20
20-Apr,2.45,3.29,3.94,5.04,Apr-20
20-May,2.45,3.29,4.05,5.04,May-20
20-Jun,2.45,3.19,3.89,4.94,Jun-20
20-Jul,2.45,3.19,3.89,4.94,Jul-20
20-Aug,2.45,3.09,3.89,4.94,Aug-20
20-Sep,2.45,3.09,3.59,4.79,Sep-20
20-Oct,2.45,3.09,3.59,4.79,Oct-20
20-Nov,2.45,3.09,3.59,4.79,Nov-20
20-Dec,2.45,3.09,3.59,4.79,Dec-20
21-Jan,2.45,3.09,3.49,4.79,Jan-21
21-Feb,2.45,2.79,3.49,4.79,Feb-21
21-Mar,2.45,2.79,3.49,4.79,Mar-21
21-Apr,2.45,2.79,3.49,4.79,Apr-21
21-May,2.45,2.79,3.49,4.79,May-21
21-Jun,2.45,2.79,3.49,4.79,Jun-21
21-Jul,2.45,2.79,3.49,4.79,Jul-21
21-Aug,2.45,2.79,3.49,4.79,Aug-21
21-Sep,2.45,2.79,3.49,4.79,Sep-21
21-Oct,2.45,2.79,3.49,4.79,Oct-21
21-Nov,2.45,2.79,3.49,4.79,Nov-21
21-Dec,2.45,2.79,3.49,4.79,Dec-21
