REF_DATE,GEO,DGUID,Wages,Type of work,National Occupational Classification (NOC),Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5517.1,,,,1
Feb-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5540.8,,,,1
Mar-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5543.4,,,,1
Apr-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5596.2,,,,1
May-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5704.3,,,,1
Jun-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5787.2,,,,1
Jul-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5721.8,,,,1
Aug-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5728.4,,,,1
Sep-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5616.2,,,,1
Oct-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5600.5,,,,1
Nov-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5651.9,,,,1
Dec-11,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5602.9,,,,1
Jan-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5502.7,,,,1
Feb-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5526,,,,1
Mar-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5539.3,,,,1
Apr-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5611.4,,,,1
May-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5660.8,,,,1
Jun-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5709.5,,,,1
Jul-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5709.2,,,,1
Aug-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5716.6,,,,1
Sep-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5632.1,,,,1
Oct-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5644.8,,,,1
Nov-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5673.3,,,,1
Dec-12,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5714.2,,,,1
Jan-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5605.1,,,,1
Feb-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5641.8,,,,1
Mar-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5584.4,,,,1
Apr-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5639.5,,,,1
May-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5763,,,,1
Jun-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5835.3,,,,1
Jul-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5759.4,,,,1
Aug-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5804,,,,1
Sep-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5713,,,,1
Oct-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5758.3,,,,1
Nov-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5754,,,,1
Dec-13,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5725.7,,,,1
Jan-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5643.5,,,,1
Feb-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5682.1,,,,1
Mar-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5653,,,,1
Apr-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5713.7,,,,1
May-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5811.3,,,,1
Jun-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5856.4,,,,1
Jul-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5870.8,,,,1
Aug-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5854.9,,,,1
Sep-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5791.6,,,,1
Oct-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5821.5,,,,1
Nov-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5797.5,,,,1
Dec-14,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5763.3,,,,1
Jan-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5653.1,,,,1
Feb-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5679.8,,,,1
Mar-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5670.3,,,,1
Apr-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5722.4,,,,1
May-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5875,,,,1
Jun-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5944.1,,,,1
Jul-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5891,,,,1
Aug-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5905.4,,,,1
Sep-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5737.5,,,,1
Oct-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5809.1,,,,1
Nov-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5768.1,,,,1
Dec-15,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5784.5,,,,1
Jan-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5713.1,,,,1
Feb-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5697.4,,,,1
Mar-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5705.8,,,,1
Apr-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5740,,,,1
May-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5923.9,,,,1
Jun-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5955,,,,1
Jul-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5889.6,,,,1
Aug-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5920.8,,,,1
Sep-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5831.3,,,,1
Oct-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5869.2,,,,1
Nov-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5899.8,,,,1
Dec-16,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5907.4,,,,1
Jan-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5846.8,,,,1
Feb-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5851.4,,,,1
Mar-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5812.4,,,,1
Apr-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5828.5,,,,1
May-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6000.8,,,,1
Jun-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6022,,,,1
Jul-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6029.9,,,,1
Aug-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6053.6,,,,1
Sep-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5951,,,,1
Oct-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6000.6,,,,1
Nov-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6056.1,,,,1
Dec-17,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6053.9,,,,1
Jan-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5909,,,,1
Feb-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5951,,,,1
Mar-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5939,,,,1
Apr-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6003.4,,,,1
May-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6143.3,,,,1
Jun-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6193.7,,,,1
Jul-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6250,,,,1
Aug-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6143.7,,,,1
Sep-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6061.5,,,,1
Oct-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6086.4,,,,1
Nov-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6123.6,,,,1
Dec-18,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6112.1,,,,1
Jan-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6044.1,,,,1
Feb-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6106.2,,,,1
Mar-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6058.8,,,,1
Apr-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6145.2,,,,1
May-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6258.9,,,,1
Jun-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6290.6,,,,1
Jul-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6251,,,,1
Aug-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6282.9,,,,1
Sep-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6224,,,,1
Oct-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6223.2,,,,1
Nov-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6272.5,,,,1
Dec-19,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6315.6,,,,1
Jan-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6207.2,,,,1
Feb-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6235,,,,1
Mar-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5837.6,,,,1
Apr-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5220.8,,,,1
May-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5289.5,,,,1
Jun-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5695.3,,,,1
Jul-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5847.2,,,,1
Aug-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5991.2,,,,1
Sep-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6079.2,,,,1
Oct-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6115.4,,,,1
Nov-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6115.8,,,,1
Dec-20,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6175.8,,,,1
Jan-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,5900.4,,,,1
Feb-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6043.3,,,,1
Mar-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6151.5,,,,1
Apr-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6009.8,,,,1
May-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6098.9,,,,1
Jun-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6310.8,,,,1
Jul-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6341.9,,,,1
Aug-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6396.8,,,,1
Sep-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6383.9,,,,1
Oct-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6457.1,,,,1
Nov-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6535.4,,,,1
Dec-21,Ontario,2016A000235,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,Persons,249,thousands,3,v103504914,7.1.1.1.1.1,6545.6,,,,1
