ID,Date,Number of Sales,Dollar Volume,Avg. Price Level,Median Price,New Listings,SNLR (Trend),Active Listings,Mos. Inv. (Trend),Avg. SP/LP,Avg. DOM
1,11-Jan,"4,337","1,852,057,481","$427,037","$360,000","9,008",,"12,152",,98%,36
2,11-Feb,"6,266","2,847,415,540","$454,423","$379,000","11,538",,"14,365",,99%,27
3,11-Mar,"9,262","4,224,832,331","$456,147","$385,000","15,315",,"16,616",,99%,23
4,11-Apr,"9,041","4,316,236,999","$477,407","$402,000","14,494",,"17,466",,99%,22
5,11-May,"10,046","4,877,529,408","$485,520","$400,000","16,076",,"18,481",,99%,23
6,11-Jun,"10,230","4,873,270,464","$476,371","$405,000","14,837",,"18,171",,99%,24
7,11-Jul,"3,072","$1,461,402,170","$475,717","$392,650","5,075",,"6,928",,99%,24
8,11-Aug,"2,898","$1,347,172,255","$464,863","$387,000","4,831",,"6,611",,99%,26
9,11-Sep,"3,114","$1,543,566,564","$495,686","$399,450","6,185",,"7,392",,100%,26
10,11-Oct,"3,124","$1,632,621,956","$522,606","$410,000","5,211",,"7,109",,99%,23
11,11-Nov,"3,028","$1,588,749,233","$524,686","$412,000","4,229",60.00%,"6,281",2.2,99%,27
12,11-Dec,"1,948","$923,877,841","$474,270","$385,000","2,019",60.00%,"5,253",2.2,99%,30
13,12-Jan,"1,705","$850,871,140","$499,045","$396,000","4,041",59.60%,"5,134",2.2,99%,31
14,12-Feb,"2,686","$1,486,751,884","$553,519","$424,944","5,165",59.20%,"6,090",2.2,101%,22
15,12-Mar,"3,682","$2,019,039,303","$548,354","$428,000","6,375",58.90%,"6,896",2.2,101%,21
16,12-Apr,"3,925","$2,231,109,660","$568,436","$445,000","6,383",58.90%,"7,321",2.2,101%,21
17,12-May,"4,130","$2,349,011,252","$568,768","$446,000","7,956",58.00%,"8,376",2.2,100%,20
18,12-Jun,"3,520","$1,950,350,664","$554,077","$434,405","6,742",56.40%,"8,537",2.3,99%,21
19,12-Jul,"2,721","$1,363,040,705","$500,934","$410,000","5,537",55.50%,"8,385",2.3,98%,26
20,12-Aug,"2,282","$1,135,909,249","$497,769","$399,050","4,273",55.00%,"7,492",2.4,98%,29
21,12-Sep,"2,255","$1,235,516,776","$547,901","$430,000","6,342",53.50%,"8,740",2.5,99%,28
22,12-Oct,"2,730","$1,471,984,594","$539,188","$437,639","5,568",52.60%,"8,492",2.6,98%,26
23,12-Nov,"2,308","$1,195,235,446","$517,866","$425,000","4,056",51.40%,"7,456",2.7,98%,29
24,12-Dec,"1,470","$726,367,202","$494,127","$404,250","1,679",51.00%,"5,291",2.7,97%,37
25,13-Jan,"1,559","$791,751,646","$507,859","$413,500","4,207",50.60%,"5,736",2.7,98%,37
26,13-Feb,"2,189","$1,208,359,467","$552,014","$434,000","4,326",50.50%,"6,335",2.8,99%,27
27,13-Mar,"2,891","$1,632,817,557","$564,793","$441,000","5,513",49.90%,"7,119",2.9,99%,24
28,13-Apr,"3,591","$2,069,546,693","$576,315","$453,500","7,004",49.00%,"8,086",2.9,100%,23
29,13-May,"3,840","$2,307,037,386","$600,791","$478,500","7,264",49.10%,"8,716",2.9,100%,22
30,13-Jun,"3,265","$1,889,047,138","$578,575","$455,000","5,913",49.40%,"8,572",3,99%,23
31,13-Jul,"3,062","$1,641,786,517","$536,181","$439,000","5,350",50.10%,"7,849",2.9,98%,27
32,13-Aug,"2,665","$1,380,856,812","$518,145","$423,000","4,475",50.60%,"7,097",2.9,98%,29
33,13-Sep,"2,789","$1,593,663,756","$571,410","$451,510","5,994",51.70%,"7,897",2.8,99%,27
34,13-Oct,"3,190","$1,894,242,973","$593,807","$467,000","5,349",53.00%,"7,286",2.7,99%,25
35,13-Nov,"2,528","$1,492,444,187","$590,366","$470,000","3,849",53.60%,"6,380",2.7,99%,28
36,13-Dec,"1,574","$852,747,616","$541,771","$423,250","1,703",53.80%,"4,582",2.6,98%,33
37,14-Jan,"1,551","$856,763,881","$552,395","$435,000","3,610",51.80%,"4,871",2.7,99%,36
38,14-Feb,"2,136","$1,280,348,384","$599,414","$459,950","4,393",54.30%,"5,797",2.6,101%,26
39,14-Mar,"2,978","$1,779,060,317","$597,401","$480,000","5,625",54.40%,"6,656",2.6,101%,22
40,14-Apr,"3,544","$2,274,062,972","$641,666","$500,000","6,686",54.80%,"7,674",2.5,101%,20
41,14-May,"4,069","$2,655,757,881","$652,681","$522,000","7,360",55.10%,"8,310",2.5,101%,20
42,14-Jun,"3,795","$2,344,757,716","$617,854","$493,000","6,521",55.60%,"8,267",2.5,101%,21
43,14-Jul,"3,315","$1,911,271,512","$576,552","$475,000","5,787",55.40%,"7,796",2.4,100%,24
44,14-Aug,"2,760","$1,557,629,962","$564,359","$443,250","4,274",56.00%,"6,904",2.4,99%,28
45,14-Sep,"3,063","$1,913,918,373","$624,851","$488,900","6,609",55.90%,"7,804",2.4,100%,25
46,14-Oct,"3,420","$2,165,128,162","$633,078","$505,000","5,699",56.00%,"7,286",2.4,100%,23
47,14-Nov,"2,661","$1,639,522,493","$616,130","$490,800","3,823",56.20%,"6,296",2.4,99%,26
48,14-Dec,"1,762","$1,012,336,979","$574,539","$441,500","1,899",56.40%,"4,431",2.4,99%,31
49,15-Jan,"1,561","$907,685,684","$581,477","$460,000","3,912",56.10%,"5,056",2.4,100%,32
50,15-Feb,"2,370","$1,495,132,818","$630,858","$480,000","4,211",56.60%,"5,506",2.3,101%,24
51,15-Mar,"3,196","$2,093,594,011","$655,067","$505,000","6,122",56.50%,"6,593",2.3,101%,22
52,15-Apr,"4,071","$2,810,051,927","$690,261","$550,000","7,175",56.90%,"7,466",2.3,102%,19
53,15-May,"4,189","$3,009,167,382","$718,350","$552,000","7,280",57.20%,"8,046",2.3,102%,19
54,15-Jun,"4,406","$3,006,056,463","$682,264","$533,250","7,169",57.50%,"7,955",2.2,101%,20
55,15-Jul,"3,480","$2,151,342,405","$618,202","$495,000","5,681",57.90%,"7,335",2.2,100%,24
56,15-Aug,"2,807","$1,700,528,823","$605,817","$479,000","4,883",57.40%,"6,947",2.2,100%,26
57,15-Sep,"3,137","$2,117,230,016","$674,922","$530,000","6,816",57.30%,"7,873",2.2,101%,23
58,15-Oct,"3,431","$2,303,400,938","$671,350","$525,888","5,593",57.40%,"7,333",2.2,100%,23
59,15-Nov,"2,863","$1,873,033,779","$654,221","$520,000","4,123",57.40%,"6,288",2.2,100%,27
60,15-Dec,"1,999","$1,253,258,040","$626,942","$480,000","2,029",57.70%,"4,325",2.2,99%,31
61,16-Jan,"1,699","$1,081,801,301","$636,728","$500,000","3,757",58.00%,"4,703",2.1,100%,33
62,16-Feb,"2,809","$2,022,039,822","$719,843","$549,900","4,476",58.50%,"5,070",2.1,102%,24
63,16-Mar,"3,627","$2,537,974,889","$699,745","$548,900","5,528",59.70%,"5,479",2.1,103%,20
64,16-Apr,"4,248","$3,255,975,070","$766,472","$583,000","6,155",60.90%,"5,677",2,105%,18
65,16-May,"4,638","$3,627,154,766","$782,051","$595,000","6,772",62.10%,"5,936",1.9,105%,17
66,16-Jun,"4,578","$3,549,779,426","$775,400","$597,500","6,280",63.30%,"5,552",1.9,105%,17
67,16-Jul,"3,500","$2,415,362,115","$690,103","$529,000","4,877",64.20%,"4,930",1.8,103%,19
68,16-Aug,"3,416","$2,313,456,914","$677,241","$517,750","4,480",65.60%,"4,281",1.7,102%,21
69,16-Sep,"3,599","$2,752,775,848","$764,872","$580,000","5,710",67.60%,"4,780",1.6,104%,18
70,16-Oct,"3,715","$2,862,333,911","$770,480","$580,000","5,105",68.60%,"4,438",1.5,104%,17
71,16-Nov,"3,376","$2,668,584,356","$790,457","$597,500","4,073",69.50%,"3,558",1.4,103%,18
72,16-Dec,"2,105","$1,495,195,673","$710,307","$534,900","1,667",70.10%,"2,012",1.4,102%,21
73,17-Jan,"1,904","$1,385,975,556","727,928","$539,900","2,886",71.50%,"2,230",1.3,104%,20
74,17-Feb,"2,900","$2,491,638,578","859,186","$608,500","3,586",72.80%,"2,298",1.2,108%,15
75,17-Mar,"4,258","$3,829,866,009","899,452","$680,000","5,740",73.60%,"2,809",1.2,112%,11
76,17-Apr,"4,164","$3,930,596,896","943,947","$715,000","7,015",72.40%,"4,218",1.1,111%,10
77,17-May,"3,926","$3,532,330,617","899,728","$675,000","8,451",69.20%,"5,829",1.1,106%,11
78,17-Jun,"3,139","$2,603,735,455","829,479","$635,000","6,295",66.70%,"6,000",1.2,101%,15
79,17-Jul,"2,303","$1,748,992,472","759,441","$589,500","4,499",65.10%,"5,700",1.2,98%,20
80,17-Aug,"2,480","$1,802,246,113","726,712","$584,000","3,603",64.40%,"4,743",1.3,99%,23
81,17-Sep,"2,510","$2,032,073,865","809,591","$625,000","5,535",62.70%,"5,732",1.4,99%,21
82,17-Oct,"2,885","$2,360,509,668","818,201","$650,000","5,051",61.30%,"5,681",1.4,99%,20
83,17-Nov,"2,978","$2,389,010,519","802,220","$630,000","4,881",59.80%,"5,430",1.5,99%,21
84,17-Dec,"1,970","$1,461,117,062","741,684","$590,000","2,139",59.10%,"3,736",1.5,98%,24
85,18-Jan,"1,517","$1,162,957,062","766,616","$588,000","2,776",58.60%,"3,460",1.6,99%,28
86,18-Feb,"2,013","$1,623,473,269","806,494","$650,000","3,386",57.30%,"3,812",1.7,100%,22
87,18-Mar,"2,797","$2,286,943,442","817,642","$660,000","4,438",56.10%,"4,104",1.8,101%,17
88,18-Apr,"2,946","$2,550,698,152","865,817","$685,000","5,299",55.60%,"4,785",1.9,102%,16
89,18-May,"3,284","$2,855,619,168","869,555","$690,000","6,392",56.60%,"5,797",1.9,101%,16
90,18-Jun,"3,096","$2,695,251,277","870,559","$686,500","5,243",57.50%,"5,748",1.9,101%,17
91,18-Jul,"2,574","$2,121,839,764","824,336","$650,000","4,511",58.00%,"5,479",1.9,99%,21
92,18-Aug,"2,441","$1,916,728,902","785,223","$637,500","3,752",57.80%,"4,808",1.9,99%,24
93,18-Sep,"2,468","$2,133,030,181","864,275","$690,000","5,456",57.70%,"5,830",1.9,101%,21
94,18-Oct,"3,031","$2,636,576,288","869,870","$699,000","5,292",57.80%,"5,665",1.9,100%,20
95,18-Nov,"2,563","$2,159,284,943","842,483","$670,000","3,892",58.00%,"4,946",1.9,100%,22
96,18-Dec,"1,473","$1,123,349,728","762,627","$640,000","1,426",57.90%,"3,270",1.9,98%,27
97,19-Jan,"1,422","$1,105,852,860","777,674","$647,000","3,144",57.30%,"3,575",1.9,99%,29
98,19-Feb,"1,879","$1,578,755,992","840,211","$677,000","3,301",57.10%,"3,932",2,100%,22
99,19-Mar,"2,545","$2,112,459,034","830,043","$682,000","4,527",56.50%,"4,577",2,101%,19
100,19-Apr,"3,234","$2,923,508,662","903,992","$720,000","5,734",56.40%,"5,368",2,101%,17
101,19-May,"3,715","$3,483,943,680","937,804","$753,000","6,648",57.30%,"6,039",2,101%,16
102,19-Jun,"3,201","$2,930,454,957","915,481","$741,000","5,401",57.30%,"5,907",2,101%,18
103,19-Jul,"3,110","$2,612,223,392","839,943","$705,000","4,762",58.00%,"5,265",1.9,100%,20
104,19-Aug,"2,553","$2,090,180,662","818,715","$685,000","3,727",58.20%,"4,616",1.9,99%,23
105,19-Sep,"2,995","$2,734,723,925","913,096","$738,000","5,810",58.80%,"5,479",1.9,101%,19
106,19-Oct,"3,295","$3,049,517,260","925,498","$751,000","4,980",59.70%,"4,980",1.8,101%,19
107,19-Nov,"2,718","$2,474,517,578","910,419","$739,000","3,308",60.70%,"3,918",1.8,100%,21
108,19-Dec,"1,673","$1,480,825,100","885,132","$720,000","1,352",61.10%,"2,352",1.7,99%,27
109,20-Jan,"1,603","$1,417,668,705","$884,385","$725,000","2,633",62.10%,"2,464",1.7,101%,24
110,20-Feb,"2,477","$2,450,294,215","$989,218","$788,000","3,519",63.00%,"2,720",1.6,104%,17
111,20-Mar,"2,771","$2,737,158,052","$987,787","$800,000","4,900",63.00%,"3,373",1.6,104%,12
112,20-Apr,"1,036","$913,155,503","$881,424","$749,950","2,223",63.00%,"3,470",1.6,99%,17
113,20-May,"1,491","$1,424,311,443","$955,273","$785,000","3,312",62.70%,"4,009",1.7,100%,21
114,20-Jun,"2,830","$2,892,650,632","$1,022,138","$815,000","6,144",60.90%,"5,331",1.7,101%,15
115,20-Jul,"3,577","$3,638,954,125","$1,017,320","$810,000","6,930",59.20%,"6,129",1.7,102%,16
116,20-Aug,"3,365","$3,407,083,747","$1,012,506","$815,000","7,391",56.60%,"7,211",1.7,102%,16
117,20-Sep,"3,555","$3,633,390,955","$1,022,051","$840,000","8,689",54.60%,"8,586",1.8,102%,16
118,20-Oct,"3,514","$3,605,098,740","$1,025,925","$836,100","7,823",52.30%,"8,623",1.9,102%,17
119,20-Nov,"3,032","$2,969,008,105","$979,224","$793,500","5,106",51.30%,"7,286",2,101%,21
120,20-Dec,"2,713","$2,426,985,034","$894,576","$700,000","2,281",52.20%,"4,309",2,100%,29
121,21-Jan,"2,665","$2,308,771,604","$866,331","$672,000","3,547",53.10%,"3,529",2,101%,31
122,21-Feb,"3,741","$3,723,045,133","$995,201","$765,000","4,706",54.10%,"3,371",1.9,105%,20
123,21-Mar,"5,130","$5,557,439,345","$1,083,322","$860,000","7,206",55.80%,"3,960",1.8,107%,12
124,21-Apr,"4,694","$5,107,168,556","$1,088,021","$875,000","7,481",56.80%,"4,627",1.7,107%,11
125,21-May,"4,118","$4,598,718,991","$1,116,736","$890,000","7,051",57.50%,"5,196",1.6,106%,12
126,21-Jun,"3,850","$4,157,034,650","$1,079,749","$867,000","6,386",58.70%,"5,128",1.5,104%,14
127,21-Jul,"3,269","$3,323,201,609","$1,016,580","$817,700","5,108",59.70%,"4,705",1.5,103%,16
128,21-Aug,"3,003","$3,003,023,643","$1,000,008","$785,000","4,207",62.00%,"4,103",1.5,103%,19
129,21-Sep,"3,397","$3,703,396,553","$1,090,196","$860,000","5,946",64.30%,"4,821",1.4,105%,16
130,21-Oct,"3,794","$4,258,625,268","$1,122,463","$880,900","5,140",67.40%,"4,247",1.3,106%,16
131,21-Nov,"3,587","$3,933,993,086","$1,096,736","$840,000","4,249",69.20%,"3,342",1.2,106%,17
132,21-Dec,"2,395","$2,450,154,556","$1,023,029","$802,000","1,963",69.00%,"1,806",1.1,106%,19
